Main_Specialty_Code,Main_Specialty_Desc,Age_Group,Attendance_Count,Gender
&,Not Known,0,16162,Female
100,General Surgery,0,1479,Female
101,Urology,0,454,Female
107,Vascular Surgery,0,1,Female
110,Trauma and Orthopaedics,0,27130,Female
120,Ear Nose and Throat,0,9305,Female
130,Ophthalmology,0,18715,Female
140,Oral Surgery,0,1834,Female
141,Restorative Dentistry,0,2,Female
142,Paediatric Dentistry,0,207,Female
143,Orthodontics,0,76,Female
145,Oral and Maxillofacial Surgery,0,1591,Female
146,Endodontics,0,0,Female
147,Periodontics,0,0,Female
148,Prosthodontics,0,0,Female
149,Surgical Dentistry,0,0,Female
150,Neurosurgery,0,1345,Female
160,Plastic Surgery,0,5599,Female
170,Cardiothoracic Surgery,0,412,Female
171,Paediatric Surgery,0,7237,Female
180,Emergency Medicine,0,1982,Female
190,Anaesthetics,0,664,Female
191,Pain Management (Retired 1 April 2004),0,0,Female
192,Intensive Care Medicine,0,236,Female
300,General Internal Medicine,0,31995,Female
301,Gastroenterology,0,336,Female
302,Endocrinology and Diabetes,0,944,Female
303,Clinical Haematology,0,789,Female
304,Clinical Physiology,0,303,Female
305,Clinical Pharmacology,0,0,Female
310,Audio Vestibular Medicine,0,3472,Female
311,Clinical Genetics,0,1328,Female
313,Clinical Immunology,0,471,Female
314,Rehabilitation Medicine,0,9,Female
315,Palliative Medicine,0,769,Female
317,Allergy,0,252,Female
320,Cardiology,0,2827,Female
321,Paediatric Cardiology,0,9180,Female
325,Sport and Exercise Medicine,0,0,Female
326,Acute Internal Medicine,0,4,Female
330,Dermatology,0,7228,Female
340,Respiratory Medicine,0,1736,Female
350,Infectious Diseases,0,81,Female
352,Tropical Medicine,0,0,Female
360,Genitourinary Medicine,0,10,Female
361,Renal Medicine,0,276,Female
370,Medical Oncology,0,170,Female
371,Nuclear Medicine,0,16,Female
400,Neurology,0,1329,Female
401,Clinical Neurophysiology,0,810,Female
410,Rheumatology,0,34,Female
420,Paediatrics,0,187317,Female
421,Paediatric Neurology,0,892,Female
430,Geriatric Medicine,0,1,Female
450,Dental Medicine,0,26,Female
