Main_Specialty_Code,Main_Specialty_Desc,Age_Group,Attendance_Count,Gender
&,Not Known,0,16806,Male
100,General Surgery,0,2892,Male
101,Urology,0,2534,Male
107,Vascular Surgery,0,2,Male
110,Trauma and Orthopaedics,0,21182,Male
120,Ear Nose and Throat,0,12473,Male
130,Ophthalmology,0,20823,Male
140,Oral Surgery,0,2615,Male
141,Restorative Dentistry,0,1,Male
142,Paediatric Dentistry,0,227,Male
143,Orthodontics,0,74,Male
145,Oral and Maxillofacial Surgery,0,2163,Male
146,Endodontics,0,0,Male
147,Periodontics,0,0,Male
148,Prosthodontics,0,0,Male
149,Surgical Dentistry,0,0,Male
150,Neurosurgery,0,1759,Male
160,Plastic Surgery,0,7150,Male
170,Cardiothoracic Surgery,0,450,Male
171,Paediatric Surgery,0,15719,Male
180,Emergency Medicine,0,2560,Male
190,Anaesthetics,0,1397,Male
191,Pain Management (Retired 1 April 2004),0,0,Male
192,Intensive Care Medicine,0,461,Male
300,General Internal Medicine,0,34448,Male
301,Gastroenterology,0,434,Male
302,Endocrinology and Diabetes,0,1092,Male
303,Clinical Haematology,0,1253,Male
304,Clinical Physiology,0,322,Male
305,Clinical Pharmacology,0,0,Male
310,Audio Vestibular Medicine,0,4329,Male
311,Clinical Genetics,0,1534,Male
313,Clinical Immunology,0,761,Male
314,Rehabilitation Medicine,0,17,Male
315,Palliative Medicine,0,692,Male
317,Allergy,0,349,Male
320,Cardiology,0,3404,Male
321,Paediatric Cardiology,0,10393,Male
325,Sport and Exercise Medicine,0,0,Male
326,Acute Internal Medicine,0,7,Male
330,Dermatology,0,7457,Male
340,Respiratory Medicine,0,2039,Male
350,Infectious Diseases,0,136,Male
352,Tropical Medicine,0,0,Male
360,Genitourinary Medicine,0,26,Male
361,Renal Medicine,0,671,Male
370,Medical Oncology,0,170,Male
371,Nuclear Medicine,0,24,Male
400,Neurology,0,1483,Male
401,Clinical Neurophysiology,0,842,Male
410,Rheumatology,0,20,Male
420,Paediatrics,0,231140,Male
421,Paediatric Neurology,0,1096,Male
430,Geriatric Medicine,0,7,Male
450,Dental Medicine,0,16,Male
451,Special Care Dentistry,0,3,Male
460,Medical Ophthalmology,0,27,Male
