Ethnicity,Unnamed: 1,All,Attended_First,Attended_First_Tele,Attended_Subseq,Attended_Subseq_Tele,Attended_Unknown,Percent,NoShow_Prob,Tele_Proportion,Face_Proportion
British (White),British (White),67215444,18360239,2968057,36456258,9427068,3822,0.594,5.6861931909568675e-05,0.1844088837678436,0.8155342543002468
Irish (White),Irish (White),700078,178717,31613,389847,99802,99,0.006,0.0001414128140007076,0.18771479749399353,0.8121437896920057
Any other White background,Any other White background,5701495,1700972,251671,3092713,655001,1138,0.05,0.0001995967724254255,0.15902355434846474,0.8407768488791098
White and Black Caribbean (Mixed),White and Black Caribbean (Mixed),439143,122171,17853,247636,51387,96,0.004,0.00021860760617842256,0.15767073595616918,0.8421106564376525
White and Black African (Mixed),White and Black African (Mixed),238632,68906,9462,133261,26907,96,0.002,0.0004022930705018801,0.15240621542793925,0.8471914915015589
White and Asian (Mixed),White and Asian (Mixed),344524,98949,13624,193304,38600,47,0.003,0.00013642010425973794,0.15158305372049552,0.8482805261752446
Any other Mixed background,Any other Mixed background,789370,241577,32801,428439,86394,159,0.007,0.00020142645400766934,0.15100016468829572,0.8487984088576966
Indian (Asian or Asian British),Indian (Asian or Asian British),2869054,817341,117359,1631402,302408,544,0.025,0.00018960953680202675,0.1463085044756913,0.8535018859875066
Pakistani (Asian or Asian British),Pakistani (Asian or Asian British),2504534,692015,101083,1464970,246309,157,0.022,6.268631210437636e-05,0.1387052441691748,0.8612320695187209
Bangladeshi (Asian or Asian British),Bangladeshi (Asian or Asian British),897017,273870,31317,513114,78383,333,0.008,0.0003712304226117791,0.12229422630786262,0.8773345432695255
Any other Asian background,Any other Asian background,2009458,587045,86659,1129250,205948,556,0.018,0.0002766915257745861,0.1456148871984386,0.8541084212757868
Caribbean (Black or Black British),Caribbean (Black or Black British),1253883,329284,49642,715712,158814,431,0.011,0.0003437322302001222,0.16624836607562268,0.8334079016941772
African (Black or Black British),African (Black or Black British),2207375,608245,78524,1288031,231611,964,0.019,0.00043671782094112377,0.14049946203069255,0.8590638201483662
Any other Black background,Any other Black background,955038,272141,40068,532935,109555,339,0.008,0.0003549596979387504,0.15666706455659357,0.8429779757454677
Chinese (other ethnic group),Chinese (other ethnic group),424435,117392,15504,246595,44868,76,0.004,0.0001790615759774683,0.14224086138042338,0.8575800770435992
Any other ethnic group,Any other ethnic group,2886543,865027,131695,1580128,309263,430,0.025,0.00014896712087786312,0.15276335741404165,0.8470876754650806
Not Known,Not Known,9084523,3023110,470970,4545697,1038449,6297,0.08,0.000693156921942939,0.166152807362588,0.8331540357154691
