IMD_Decile,All,Attended_First,Attended_First_Tele,Attended_Subseq,Attended_Subseq_Tele,Attended_Unknown,Percent,NoShow_Prob,Tele_Proportion
Most deprived 10%,10929927,3056186,482617,6078036,1311766,1322,0.097,0.00012095231743081136,0.16417154478707863
More deprived 10-20%,11242959,3268125,485701,6112712,1373834,2587,0.099,0.00023009956720465574,0.16539551553999263
More deprived 20-30%,11354423,3255661,496203,6174192,1425983,2384,0.1,0.00020996223233893385,0.16928962396415917
More deprived 30-40%,11294332,3247341,501685,6080223,1463098,1985,0.1,0.00017575187270923998,0.1739618598072024
More deprived 40-50%,11229225,3212134,502760,6030745,1482090,1496,0.099,0.00013322379772429116,0.1767575233375411
Less deprived 40-50%,11352200,3274726,511049,6051513,1513375,1537,0.1,0.00013539225876924021,0.17832878208629163
Less deprived 30-40%,11167381,3192096,501970,5970049,1501769,1497,0.099,0.00013405112622200122,0.17942783540742455
Less deprived 20-30%,11134523,3172426,498262,5954328,1508249,1258,0.098,0.00011298193914544008,0.18020628274781056
Less deprived 10-20%,11008175,3172326,491026,5857682,1486011,1130,0.097,0.00010265098438211329,0.17959716301748474
Least deprived 10%,10793290,3059317,491136,5799828,1442279,730,0.095,6.763461372760737e-05,0.17913120095911442
Unknown/Non-UK Country,1718718,469981,74525,957195,216941,76,0.015,4.4219005095658126e-05,0.16958337551593688
